city,state,state_fips,place_fips
Elmhurst,Illinois,17,23620
Passaic,New Jersey,34,56550
North Charleston,South Carolina,45,50875
Newport News,Virginia,51,56000
Jamestown,New York,36,38264
Mishawaka,Indiana,18,49932
Bowling Green,Ohio,39,07972
La Quinta,California,06,40354
Tallahassee,Florida,12,70600
Bellingham,Washington,53,05280
Woodstock,Illinois,17,83349
Haltom City,Texas,48,31928
Wheeling,Illinois,17,81087
Summerville,South Carolina,45,70270
Hot Springs,Arkansas,05,33400
Englewood,Colorado,08,24785
Lancaster,Ohio,39,41720
Las Cruces,New Mexico,35,39380
Hoover,Alabama,01,35896
Frisco,Texas,48,27684
Vacaville,California,06,81554
Murray,Utah,49,53230
Waukesha,Wisconsin,55,84250
Bakersfield,California,06,03526
Pompano Beach,Florida,12,58050
Troy,Ohio,39,77588
Corpus Christi,Texas,48,17000
Redondo Beach,California,06,60018
Orlando,Florida,12,53000
Lake Charles,Louisiana,22,41155
Highland Park,Illinois,17,34722
Hempstead,New York,36,33139
Noblesville,Indiana,18,54180
Apple Valley,Minnesota,27,01900
Mount Pleasant,South Carolina,45,48535
Sterling Heights,Michigan,26,76460
Eau Claire,Wisconsin,55,22300
Pharr,Texas,48,57200
Billings,Montana,30,06550
Gresham,Oregon,41,31250
Chattanooga,Tennessee,47,14000
Meridian,Idaho,16,52120
Apple Valley,California,06,02364
Bolingbrook,Illinois,17,07133
Maple Grove,Minnesota,27,40166
Woodland,California,06,86328
Missouri City,Texas,48,48804
Pearland,Texas,48,56348
San Mateo,California,06,68252
Grand Rapids,Michigan,26,34000
Visalia,California,06,82954
Overland Park,Kansas,20,53775
Temecula,California,06,78120
Yucaipa,California,06,87042
Revere,Massachusetts,25,56585
Conroe,Texas,48,16432
Tinley Park,Illinois,17,75484
Dubuque,Iowa,19,22395
Dearborn Heights,Michigan,26,21020
Santa Fe,New Mexico,35,70500
Hickory,North Carolina,37,31060
Carol Stream,Illinois,17,11332
North Miami,Florida,12,49450
Lawrence,Indiana,18,42426
Plantation,Florida,12,57450
Rock Hill,South Carolina,45,61405
Odessa,Texas,48,53388
West Allis,Wisconsin,55,85300
Chula Vista,California,06,13392
Manhattan,Kansas,20,44250
Altoona,Pennsylvania,42,02184
Thornton,Colorado,08,77290
Champaign,Illinois,17,12385
Bloomington,Indiana,18,05860
Texarkana,Arkansas,05,68810
Edinburg,Texas,48,22660
Baytown,Texas,48,06128
Greenwood,Indiana,18,29898
Lakewood,California,06,39892
Woonsocket,Rhode Island,44,80780
Superior,Wisconsin,55,78660
Bedford,Texas,48,07132
Covington,Washington,53,15290
Broken Arrow,Oklahoma,40,09050
Miramar,Florida,12,45975
Hollywood,Florida,12,32000
Deer Park,Texas,48,19624
Wichita,Kansas,20,79000
Mcallen,Texas,48,45384
Iowa City,Iowa,19,38595
Cranston,Rhode Island,44,19180
Freeport,Illinois,17,27884
Port Arthur,Texas,48,58820
Citrus Heights,California,06,13588
The Colony,Texas,48,72530
Redmond,Washington,53,57535
Daytona Beach,Florida,12,16525
Bullhead City,Arizona,04,08220
Portage,Indiana,18,61092
Fargo,North Dakota,38,25700
Elkhart,Indiana,18,20728
San Gabriel,California,06,67042
Margate,Florida,12,43125
Sandy Springs,Georgia,13,68516
Mentor,Ohio,39,49056
Lawton,Oklahoma,40,41850
Hampton,Virginia,51,35000
Rome,New York,36,63418
La Crosse,Wisconsin,55,40775
Lewiston,Idaho,16,46540
Hattiesburg,Mississippi,28,31020
Danville,California,06,17988
Mount Pleasant,Michigan,26,56020
Logan,Utah,49,45860
Waterbury,Connecticut,09,80000
Lewiston,Maine,23,38740
Danville,Illinois,17,18563
Avondale,Arizona,04,04720
Marietta,Georgia,13,49756
Yuma,Arizona,04,85540
Wausau,Wisconsin,55,84475
Pasco,Washington,53,53545
Oak Park,Illinois,17,54885
Pensacola,Florida,12,55925
League City,Texas,48,41980
Gaithersburg,Maryland,24,31175
Lehi,Utah,49,44320
Tuscaloosa,Alabama,01,77256
Moreno Valley,California,06,49270
Georgetown,Kentucky,21,30700
Loveland,Colorado,08,46465
Chandler,Arizona,04,12000
Helena,Montana,30,35600
Kirkwood,Missouri,29,39044
Waco,Texas,48,76000
Roseville,Michigan,26,69800
Frankfort,Illinois,17,27624
Bethlehem,Pennsylvania,42,06088
Roseville,Minnesota,27,55852
Grand Island,Nebraska,31,19595
Woodbury,Minnesota,27,71428
Oak Park,Michigan,26,59920
Rogers,Arkansas,05,60410
Clovis,New Mexico,35,16420
Jupiter,Florida,12,35875
Santa Barbara,California,06,69070
Cedar Hill,Texas,48,13492
Norfolk,Nebraska,31,34615
Draper,Utah,49,20120
Ann Arbor,Michigan,26,03000
La Mesa,California,06,40004
Pocatello,Idaho,16,64090
Holland,Michigan,26,38640
Buffalo Grove,Illinois,17,09447
Lake Forest,California,06,39496
Redding,California,06,59920
Chico,California,06,13014
Utica,New York,36,76540
Conway,Arkansas,05,15190
Cheyenne,Wyoming,56,13900
Owensboro,Kentucky,21,58620
Caldwell,Idaho,16,12250
Kenner,Louisiana,22,39475
Nashua,New Hampshire,33,50260
Bartlett,Tennessee,47,03440
Redwood City,California,06,60102
Lebanon,Tennessee,47,41520
Santa Maria,California,06,69196
Des Plaines,Illinois,17,19642
Longview,Washington,53,40245
Hendersonville,Tennessee,47,33280
Waterloo,Iowa,19,82425
Cambridge,Massachusetts,25,11000
Palatine,Illinois,17,57225
Beverly,Massachusetts,25,05595
Eugene,Oregon,41,23850
Oxnard,California,06,54652
Renton,Washington,53,57745
Glenview,Illinois,17,29938
Delray Beach,Florida,12,17100
Commerce City,Colorado,08,16495
Texas City,Texas,48,72392
Wilson,North Carolina,37,74540
Rio Rancho,New Mexico,35,63460
Goldsboro,North Carolina,37,26880
Everett,Washington,53,22640
Montebello,California,06,48816
El Cajon,California,06,21712
Beaumont,Texas,48,07000
West Palm Beach,Florida,12,76600
Abilene,Texas,48,01000
Normal,Illinois,17,53234
Camarillo,California,06,10046
Hillsboro,Oregon,41,34100
Burbank,California,06,08968
Modesto,California,06,48354
Garden City,Kansas,20,25325
Atlantic City,New Jersey,34,02080
Longmont,Colorado,08,45970
Davis,California,06,18100
Wheeling,West Virginia,54,86452
Morgan Hill,California,06,49278
Clifton,New Jersey,34,13690
Sheboygan,Wisconsin,55,72975
East Point,Georgia,13,25720
Rapid City,South Dakota,46,52980
Andover,Massachusetts,25,01430
Kissimmee,Florida,12,36950
Shelton,Connecticut,09,68100
Danbury,Connecticut,09,18430
Marion,Iowa,19,49485
Sanford,Florida,12,63650
San Marcos,Texas,48,65600
Greeley,Colorado,08,32155
Mansfield,Texas,48,46452
Elyria,Ohio,39,25256
Twin Falls,Idaho,16,82810
Coral Gables,Florida,12,14250
Romeoville,Illinois,17,65442
Marlborough,Massachusetts,25,38715
Laurel,Maryland,24,45900
Bryan,Texas,48,10912
Pine Bluff,Arkansas,05,55310
Aberdeen,South Dakota,46,00100
Hagerstown,Maryland,24,36075
East Orange,New Jersey,34,19390
Arlington Heights,Illinois,17,02154
Oswego,Illinois,17,56887
Coon Rapids,Minnesota,27,13114
San Clemente,California,06,65084
Dublin,California,06,20018
San Luis Obispo,California,06,68154
Springdale,Arkansas,05,66080
